id,fund_type,department_code,fund_code,organization_code,organization_description,division_code,division_description,section_code,sub_section_code,sub_section_description,schedule_grade,bargaining_unit,title_code,budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount,total_budgeted_unit_people,total_budgeted_unit_time
193,Local,15,0100,1012,COFA,2012,Council Office of Financial Analysis,3012,0,,1 00,0,9831,Annual,1,80016,80016,1.0,
194,Local,15,0100,1012,COFA,2012,Council Office of Financial Analysis,3012,0,,1 00,9,9678,Annual,1,57024,57024,1.0,
195,Local,15,0100,1012,COFA,2012,Council Office of Financial Analysis,3012,0,,1 00,0,9613,Annual,1,111144,111144,1.0,
196,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,1 00,9,9921,Annual,1,175680,175680,1.0,
197,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,1 00,9,9813,Annual,1,144300,144300,1.0,
198,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,3 00,20,2901,Annual,1,102636,102636,1.0,
199,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,BX 17,10,1985,Annual,1,91752,91752,1.0,
200,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,BX 15,10,1912,Annual,1,87564,87564,1.0,
201,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,3 00,0,1430,Annual,1,85824,85824,1.0,
202,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,3 00,0,1430,Annual,1,74010,74010,1.0,
203,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,BX 15,10,0802,Annual,1,61776,61776,1.0,
204,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,BX 13,10,0801,Annual,1,56280,56280,1.0,
205,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,3 00,0,0705,Annual,1,101628,101628,1.0,
206,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3030,0,,1 00,0,0015,Annual,0,3714,3714,,0.0
207,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3040,0,,BX 17,20,1989,Annual,1,115656,115656,1.0,
208,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3040,0,,BX 17,20,1989,Annual,1,105420,105420,1.0,
209,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3040,0,,B 13,1,1987,Annual,1,91824,91824,1.0,
210,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3040,0,,B 13,1,1987,Annual,1,58020,58020,1.0,
211,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3040,0,,GY 09,20,1437,Annual,1,85992,85992,1.0,
212,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3040,0,,1 00,0,0015,Annual,0,4267,4267,,0.0
213,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3045,0,,B 13,1,2915,Annual,1,58020,58020,1.0,
214,Local,21,0100,1005,DEPT OF HOUSING,2010,Department of Housing,3045,0,,3 00,9,0313,Annual,1,93864,93864,1.0,
215,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,1 00,9,9925,Annual,1,133545,133545,1.0,
216,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,1 00,9,9684,Annual,1,105756,105756,1.0,
217,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,1 00,9,9629,Annual,1,74160,74160,1.0,
218,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,BX 15,10,1912,Annual,1,83628,83628,1.0,
219,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,B 15,1,1302,Annual,1,96096,96096,1.0,
220,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,3 00,0,1246,Annual,1,85824,85824,1.0,
221,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,BX 13,10,0378,Annual,1,53736,53736,1.0,
222,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,BX 13,10,0378,Annual,1,51324,51324,1.0,
223,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,3 00,9,0315,Annual,1,129072,129072,1.0,
224,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,3 00,9,0311,Annual,1,92376,92376,1.0,
225,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3005,0,,1 00,0,0015,Annual,0,4106,4106,,0.0
226,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3010,0,,B 10,1,1614,Annual,1,43932,87864,2.0,
227,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3010,0,,BX 13,20,0770,Annual,1,70608,70608,1.0,
228,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3010,0,,B 11,1,0725,Annual,1,48216,48216,1.0,
229,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 10,1,1614,Annual,1,52044,52044,1.0,
230,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 09,1,0832,Annual,1,69468,69468,1.0,
231,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 09,1,0832,Annual,1,66336,66336,1.0,
232,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 09,1,0832,Annual,1,63348,63348,1.0,
233,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 09,1,0832,Annual,1,60420,60420,1.0,
234,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,3 00,0,0728,Annual,1,92928,92928,1.0,
235,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,3 00,20,0727,Annual,1,121188,121188,1.0,
236,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,1 00,9,0726,Annual,1,110436,110436,1.0,
237,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 11,1,0725,Annual,1,76248,152496,2.0,
238,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 11,1,0725,Annual,1,48216,48216,1.0,
239,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 13,1,0696,Annual,1,100716,100716,1.0,
240,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 15,1,0653,Annual,1,91824,91824,1.0,
241,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 12,1,0432,Annual,1,91824,91824,1.0,
242,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 13,1,0308,Annual,1,87636,87636,1.0,
243,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,3 00,0,0306,Annual,1,89304,89304,1.0,
244,Local,25,0100,1005,OFFICE OF CITY CLERK,2005,Office of City Clerk,3015,0,,B 12,1,0303,Annual,1,91824,91824,1.0,
245,Local,27,0100,1005,FINANCE,2011,City Comptroller,3001,0,,1 00,9,9927,Annual,1,169956,169956,1.0,
246,Local,27,0100,1005,FINANCE,2011,City Comptroller,3001,0,,1 00,0,9812,Annual,1,149364,149364,1.0,
247,Local,27,0100,1005,FINANCE,2011,City Comptroller,3001,0,,1 00,9,9684,Annual,1,124056,124056,1.0,
248,Local,27,0100,1005,FINANCE,2011,City Comptroller,3001,0,,BX 15,10,0320,Annual,1,87564,87564,1.0,
249,Local,27,0100,1005,FINANCE,2011,City Comptroller,3001,0,,3 00,0,0310,Annual,1,90192,90192,1.0,
250,Local,27,0100,1005,FINANCE,2011,City Comptroller,3001,0,,3 00,0,0306,Annual,1,103680,103680,1.0,
251,Local,27,0100,1005,FINANCE,2011,City Comptroller,3001,0,,1 00,0,0015,Annual,0,1117,1117,,0.0
252,Local,27,0100,1005,FINANCE,2011,City Comptroller,3002,0,,B 12,1,0303,Annual,1,87636,87636,1.0,
253,Local,27,0100,1005,FINANCE,2011,City Comptroller,3002,0,,3 00,10,0188,Annual,1,110052,110052,1.0,
254,Local,27,0100,1005,FINANCE,2011,City Comptroller,3003,0,,1 00,9,9684,Annual,1,120000,120000,1.0,
255,Local,27,0100,1005,FINANCE,2011,City Comptroller,3003,0,,1 00,9,1626,Annual,1,150000,150000,1.0,
256,Local,27,0100,1005,FINANCE,2011,City Comptroller,3009,0,,1 00,9,9651,Annual,1,124056,124056,1.0,
257,Local,27,0100,1005,FINANCE,2011,City Comptroller,3009,0,,G 08,4,0635,Annual,1,95172,95172,1.0,
258,Local,27,0100,1005,FINANCE,2011,City Comptroller,3009,0,,3 00,0,0603,Annual,1,109332,109332,1.0,
259,Local,27,0100,1005,FINANCE,2011,City Comptroller,3009,0,,G 07,4,0193,Annual,1,109620,109620,1.0,
260,Local,27,0100,1005,FINANCE,2011,City Comptroller,3009,0,,G 07,4,0111,Annual,1,109620,109620,1.0,
261,Local,27,0100,1005,FINANCE,2011,City Comptroller,3009,0,,1 00,0,0015,Annual,0,2334,2334,,0.0
262,Local,27,0100,1005,FINANCE,2011,City Comptroller,3011,0,,1 00,9,9684,Annual,1,124056,124056,1.0,
263,Local,27,0100,1005,FINANCE,2011,City Comptroller,3011,0,,B 14,1,1576,Annual,1,105588,105588,1.0,
264,Local,27,0100,1005,FINANCE,2011,City Comptroller,3011,0,,B 13,1,1482,Annual,1,87636,87636,1.0,
265,Local,27,0100,1005,FINANCE,2011,City Comptroller,3011,0,,G 06,4,0638,Annual,1,100500,100500,1.0,
266,Local,27,0100,1005,FINANCE,2011,City Comptroller,3011,0,,G 08,4,0635,Annual,1,119712,119712,1.0,
267,Local,27,0100,1005,FINANCE,2011,City Comptroller,3011,0,,BX 17,10,0345,Annual,1,115656,115656,1.0,
268,Local,27,0100,1005,FINANCE,2011,City Comptroller,3011,0,,B 12,1,0303,Annual,1,87636,87636,1.0,
269,Local,27,0100,1005,FINANCE,2011,City Comptroller,3011,0,,B 12,1,0303,Annual,1,52896,52896,1.0,
270,Local,27,0100,1005,FINANCE,2011,City Comptroller,3011,0,,BX 17,20,0126,Annual,1,105420,105420,1.0,
271,Local,27,0100,1005,FINANCE,2011,City Comptroller,3011,0,,1 00,0,0015,Annual,0,627,627,,0.0
272,Local,27,0100,1005,FINANCE,2011,City Comptroller,3012,0,,BX 17,20,1331,Annual,1,82788,82788,1.0,
273,Local,27,0100,1005,FINANCE,2011,City Comptroller,3012,0,,B 15,1,1302,Annual,1,69888,69888,1.0,
274,Local,27,0100,1005,FINANCE,2011,City Comptroller,3012,0,,B 13,1,1301,Annual,1,96096,96096,1.0,
275,Local,27,0100,1005,FINANCE,2011,City Comptroller,3012,0,,B 13,1,1301,Annual,1,91824,91824,1.0,
276,Local,27,0100,1005,FINANCE,2011,City Comptroller,3012,0,,B 13,1,1301,Annual,1,79872,79872,1.0,
277,Local,27,0100,1005,FINANCE,2011,City Comptroller,3012,0,,B 13,1,1301,Annual,1,62712,62712,1.0,
278,Local,27,0100,1005,FINANCE,2011,City Comptroller,3012,0,,3 00,0,0306,Annual,1,97668,97668,1.0,
279,Local,27,0100,1005,FINANCE,2011,City Comptroller,3012,0,,1 00,0,0015,Annual,0,77,77,,0.0
280,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3018,0,,3 00,9,9653,Annual,1,138348,138348,1.0,
281,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3018,0,,BX 13,10,0801,Annual,1,56280,56280,1.0,
282,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,GY 11,20,0187,Annual,1,119412,119412,1.0,
283,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,GY 10,20,0120,Annual,1,107244,107244,1.0,
284,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,GY 10,20,0120,Annual,1,98148,98148,1.0,
285,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,G 07,4,0111,Annual,1,109620,109620,1.0,
286,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,G 07,4,0111,Annual,1,82440,82440,1.0,
287,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,G 07,4,0111,Annual,1,76248,76248,1.0,
288,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,B 13,4,0110,Annual,1,100716,201432,2.0,
289,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,B 13,4,0110,Annual,1,96096,96096,1.0,
290,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,B 13,4,0110,Annual,1,58020,58020,1.0,
291,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,3 00,9,0105,Annual,1,102636,102636,1.0,
292,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,3 00,9,0105,Annual,1,96696,96696,1.0,
293,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4051,General Accounting,1 00,0,0015,Annual,0,5735,5735,,0.0
294,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4052,Cost Control,GY 10,20,0120,Annual,1,89928,89928,1.0,
295,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3019,4052,Cost Control,B 11,1,0109,Annual,1,83676,83676,1.0,
296,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4046,Administrative Services,1 00,9,9651,Annual,1,124056,124056,1.0,
297,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4046,Administrative Services,3 00,9,0105,Annual,1,120348,120348,1.0,
298,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4046,Administrative Services,3 00,9,0105,Annual,1,107880,107880,1.0,
299,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4047,Public Safety and Planning,GY 10,20,0120,Annual,1,110400,110400,1.0,
300,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4047,Public Safety and Planning,G 07,4,0111,Annual,1,109620,109620,1.0,
301,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4047,Public Safety and Planning,B 13,4,0110,Annual,1,100716,100716,1.0,
302,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4048,Systems Audit and Schedules,GY 11,20,0187,Annual,1,119412,119412,1.0,
303,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4048,Systems Audit and Schedules,G 07,4,0111,Annual,1,78600,78600,1.0,
304,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4048,Systems Audit and Schedules,B 11,1,0109,Annual,1,76248,76248,1.0,
305,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4048,Systems Audit and Schedules,B 11,1,0109,Annual,1,72828,72828,1.0,
306,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4048,Systems Audit and Schedules,1 00,0,0015,Annual,0,2560,2560,,0.0
307,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4085,DFSS Accounting,GY 11,20,0187,Annual,1,109296,109296,1.0,
308,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4085,DFSS Accounting,GY 10,20,0120,Annual,1,89928,89928,1.0,
309,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4085,DFSS Accounting,B 13,4,0110,Annual,1,100716,201432,2.0,
310,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4085,DFSS Accounting,B 12,4,0101,Annual,1,62712,62712,1.0,
311,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4085,DFSS Accounting,1 00,0,0015,Annual,0,4943,4943,,0.0
312,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4087,Community Development Accounting,GY 11,20,0187,Annual,1,119412,119412,1.0,
313,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4087,Community Development Accounting,B 13,4,0110,Annual,1,100716,100716,1.0,
314,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4088,Transportation Accounting,GY 10,20,0120,Annual,1,110400,110400,1.0,
315,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4088,Transportation Accounting,G 07,4,0111,Annual,1,109620,109620,1.0,
316,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4088,Transportation Accounting,G 07,4,0111,Annual,1,91020,91020,1.0,
317,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4088,Transportation Accounting,B 13,4,0110,Annual,1,100716,100716,1.0,
318,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4095,Health,GY 11,20,0187,Annual,1,89928,89928,1.0,
319,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4095,Health,GY 10,20,0120,Annual,1,85992,85992,1.0,
320,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4095,Health,G 07,4,0111,Annual,1,109620,109620,1.0,
321,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4095,Health,B 13,4,0110,Annual,1,100716,100716,1.0,
322,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4095,Health,B 13,4,0110,Annual,1,76248,76248,1.0,
323,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4095,Health,1 00,0,0015,Annual,0,2654,2654,,0.0
324,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4096,Voucher / Audit,B 12,1,0432,Annual,1,52896,52896,1.0,
325,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4096,Voucher / Audit,BX 14,10,0156,Annual,1,61776,61776,1.0,
326,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4096,Voucher / Audit,B 11,1,0109,Annual,1,79872,79872,1.0,
327,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4096,Voucher / Audit,B 11,1,0109,Annual,1,66336,66336,1.0,
328,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4096,Voucher / Audit,B 11,1,0109,Annual,1,48216,144648,3.0,
329,Local,27,0100,1005,FINANCE,2012,Accounting and Financial Reporting,3041,4096,Voucher / Audit,1 00,0,0015,Annual,0,2318,2318,,0.0
330,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3014,0,,3 00,9,9653,Annual,1,138348,138348,1.0,
331,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4006,Financial Policy,1 00,9,9651,Annual,1,121560,121560,1.0,
332,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4006,Financial Policy,BX 15,10,1912,Annual,1,64704,64704,1.0,
333,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4006,Financial Policy,3 00,9,0311,Annual,1,99624,99624,1.0,
334,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4006,Financial Policy,3 00,20,0139,Annual,1,87540,350160,4.0,
335,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4006,Financial Policy,1 00,0,0015,Annual,0,2967,2967,,0.0
336,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,1 00,9,9684,Annual,1,124056,124056,1.0,
337,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,BX 15,10,1912,Annual,1,96096,96096,1.0,
338,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,BX 15,10,1912,Annual,1,64704,64704,1.0,
339,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,3 00,0,0392,Annual,1,99180,99180,1.0,
340,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,BX 13,20,0366,Annual,1,56280,56280,1.0,
341,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,3 00,9,0311,Annual,1,95736,95736,1.0,
342,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,B 13,1,0308,Annual,1,100716,100716,1.0,
343,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,B 13,1,0308,Annual,1,87636,87636,1.0,
344,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,B 13,1,0308,Annual,1,83676,83676,1.0,
345,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,B 10,1,0302,Annual,1,76248,76248,1.0,
346,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,B 10,1,0302,Annual,1,43932,43932,1.0,
347,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,3 00,0,0233,Annual,1,94788,189576,2.0,
348,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,GY 12,20,0223,Annual,1,114852,114852,1.0,
349,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,GY 08,10,0135,Annual,1,70140,70140,1.0,
350,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,BX 15,10,0134,Annual,1,96096,96096,1.0,
351,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4079,Employee Benefits Management,1 00,0,0015,Annual,0,4475,4475,,0.0
352,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4080,Risk Management,1 00,9,9672,Annual,1,119148,119148,1.0,
353,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4080,Risk Management,BX 16,10,1711,Annual,1,91752,91752,1.0,
354,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4080,Risk Management,BX 15,10,1709,Annual,1,96096,96096,1.0,
355,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4080,Risk Management,1 00,0,0015,Annual,0,2063,2063,,0.0
356,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4089,Worker's Compensation and Police and Fire Disability,1 00,0,9727,Annual,1,123144,123144,1.0,
357,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4089,Worker's Compensation and Police and Fire Disability,1 00,0,9699,Hourly,0,26,11880,,455.0
358,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4089,Worker's Compensation and Police and Fire Disability,BX 15,10,1912,Annual,1,58968,58968,1.0,
359,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4089,Worker's Compensation and Police and Fire Disability,BX 15,10,1203,Annual,1,58968,176904,3.0,
360,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4089,Worker's Compensation and Police and Fire Disability,3 00,0,0306,Annual,1,96696,96696,1.0,
361,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3016,4089,Worker's Compensation and Police and Fire Disability,1 00,0,0015,Annual,0,516,516,,0.0
362,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3017,4026,Cash Management and Disbursements,1 00,9,9651,Annual,1,124056,124056,1.0,
363,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3017,4026,Cash Management and Disbursements,B 14,1,1576,Annual,1,110508,110508,1.0,
364,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3017,4026,Cash Management and Disbursements,B 10,1,1501,Annual,1,76248,76248,1.0,
365,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3017,4026,Cash Management and Disbursements,B 10,1,1501,Annual,1,72828,72828,1.0,
366,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3017,4026,Cash Management and Disbursements,B 10,1,1501,Annual,1,47472,47472,1.0,
367,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3017,4026,Cash Management and Disbursements,G 07,4,0193,Annual,1,109620,109620,1.0,
368,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3017,4026,Cash Management and Disbursements,BX 14,10,0156,Annual,1,53736,53736,1.0,
369,Local,27,0100,1005,FINANCE,2015,Financial Strategy and Operations,3017,4026,Cash Management and Disbursements,B 11,1,0109,Annual,1,83676,251028,3.0,
